gene_symbol,Geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
IL6,ENSG00000136244,150603.918987318,-0.348670805489983,1.91991359313265,-0.181607550848718,0.855890722676122,0.999955093218881
CXCL8,ENSG00000169429,1841919.92427414,0.0170068055363074,1.34444897118231,0.0126496474770267,0.989907310740425,0.999955093218881
NFKBIA,ENSG00000100906,133253.066174135,0.0859931550744564,0.883058305251854,0.0973810614350438,0.922423784025904,0.999955093218881
TNF,ENSG00000232810,75909.5131613753,-0.644644628502303,1.51518709823022,-0.42545546306147,0.670504681719413,0.999955093218881
