"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000229807",660.236492948275,10.7757451294411,1.95046694346871,5.52470020859595,3.30048682922503e-08,0.00073746077712204
"ENSG00000275294",923.503822320113,6.97357261123963,1.66915655176896,4.17790206907141,2.94210273214464e-05,0.328691717235199
"ENSG00000228037",35.2074783985428,-0.591529458837714,1.13634664807177,-0.520553705897281,0.602677705948456,0.999955093218881
"ENSG00000142611",2.15292398422772,-0.342624445455098,1.88323168671855,-0.181934303607702,0.855634283346679,0.999955093218881
"ENSG00000157911",129.344491000283,0.0752550610223666,0.339948086087246,0.221372215647812,0.8248026244726,0.999955093218881
"ENSG00000228463",22.8743943954604,0.298015463301059,1.02718592306549,0.290128064072057,0.771718266674695,0.999955093218881
"ENSG00000142655",264.484044625832,0.0501232806366969,0.492283293606636,0.101817959877282,0.918901169815841,0.999955093218881
"ENSG00000149527",9.17637515531486,-0.253979201268081,0.732234632455348,-0.34685494240614,0.728700298313076,0.999955093218881
"ENSG00000171621",1249.76713914413,-1.2568662609287,0.881422177264813,-1.42595261765361,0.153882019584021,0.999955093218881
"ENSG00000272235",5.22796229585097,-1.7133446844947,1.50614832050425,-1.13756703849796,0.25530131675331,0.999955093218881
"ENSG00000142583",36.9112712115919,-0.262836827700603,0.884197506584126,-0.297260313157868,0.766267778396903,0.999955093218881
"ENSG00000287727",5.03385402268618,0.745799351935112,1.18037478061694,0.631832672285078,0.52749622175926,0.999955093218881
"ENSG00000226457",1.88861132091176,0.698754431912907,1.40230860615366,0.498288628370823,0.618280621797357,0.999955093218881
"ENSG00000173614",168.16420317519,0.43688390625774,0.588985654034491,0.741756447317741,0.458234912621151,0.999955093218881
"ENSG00000215720",3.56142336364724,-0.575875809409765,1.46051544620342,-0.394296281430465,0.693362308369963,0.999955093218881
"ENSG00000233623",2.589165537124,0.411706019337148,1.84117291884709,0.223610729401207,0.823060214208553,0.999955093218881
"ENSG00000142606",8.72891002734421,0.971982587625734,0.789361119110435,1.23135351373919,0.218190675258671,0.999955093218881
"ENSG00000225931",71.2638935472676,0.178378139760384,1.1813914512172,0.150989868410339,0.879983708106736,0.999955093218881
"ENSG00000171729",1674.14028160564,0.262034490723263,0.608641743515735,0.430523363727334,0.666814975032528,0.999955093218881
"ENSG00000279457",288.254794665819,-0.456284013910067,0.336439902205878,-1.35621253875782,0.175031553656116,0.999955093218881
"ENSG00000229393",1.83611355644866,0.390307546078379,1.67043097614858,0.233656793756477,0.815251432855496,0.999955093218881
"ENSG00000037637",1109.63651187574,-0.142598712975002,0.440797187885208,-0.323501866377916,0.746315194292227,0.999955093218881
"ENSG00000159423",130.481331069797,-0.0143753240526079,0.460642456743726,-0.0312071191922404,0.975104362386669,0.999955093218881
"ENSG00000157916",2613.62930103377,-0.0714579921068235,0.289950873827441,-0.246448617876387,0.805334974888704,0.999955093218881
"ENSG00000157881",805.10248670515,0.000222287876708255,0.304368101372034,0.000730325798617606,0.999417284372728,0.999955093218881
"ENSG00000048707",1178.7359657844,0.114117216218169,0.334013829670388,0.341654165430163,0.732611169221221,0.999955093218881
"ENSG00000225196",4.06109986992609,-0.217354654614481,1.66662150420082,-0.13041632672243,0.896237050050416,0.999955093218881
"ENSG00000162444",20.5490228420308,0.558122695752466,1.0995568720934,0.50758874771969,0.61174178345356,0.999955093218881
"ENSG00000180758",534.71038259428,0.679303320105085,0.670737887079992,1.01277016430723,0.311169954857051,0.999955093218881
"ENSG00000184677",1572.28793629763,-0.107592061530626,0.294853431783364,-0.36490015015215,0.71518594222178,0.999955093218881
"ENSG00000288398",12.4707540609805,-0.171832659196793,0.92654089101659,-0.185456098983673,0.852871310843531,0.999955093218881
"ENSG00000131697",346.695336035743,-0.296431733583024,0.535899394288518,-0.553148103435681,0.580161999923943,0.999955093218881
"ENSG00000233929",8.62009767801354,-0.376035809493998,0.809370175641885,-0.464602997257437,0.642215785479417,0.999955093218881
"ENSG00000055070",4883.69115577865,-0.0552539433311934,0.405261175072058,-0.136341566204483,0.891551265583285,0.999955093218881
"ENSG00000175087",76.8138766770769,0.408604792308995,0.853968260274665,0.478477727237279,0.632310223142014,0.999955093218881
"ENSG00000162511",31221.9324253649,0.386672568342615,0.475921935210049,0.812470574973512,0.416521664188548,0.999955093218881
"ENSG00000204138",859.336165725111,-0.466856410030957,0.703582856963282,-0.66354147974262,0.506983822731838,0.999955093218881
"ENSG00000142675",6.54400321532457,0.0785883412164829,0.786525763941533,0.0999183304850073,0.92040916355469,0.999955093218881
"ENSG00000130772",307.88904025755,0.0790148379633099,0.443267405622904,0.178255466025691,0.858522351575804,0.999955093218881
"ENSG00000090020",674.022337040792,0.445899190101262,0.781977436199968,0.57022002101252,0.568528478501487,0.999955093218881
"ENSG00000157978",328.399418720681,0.68299273845681,1.00384053826462,0.68037971413022,0.496264062349211,0.999955093218881
"ENSG00000130770",188.140674429207,0.139539756886299,0.895431341254806,0.155835238792017,0.876162893396035,0.999955093218881
"ENSG00000162512",175.5653004423,1.4134284900449,1.08673090925782,1.30062417292446,0.193387128684061,0.999955093218881
"ENSG00000158006",240.277057751846,0.39628737553745,0.598663559845302,0.66195339439042,0.508001090744928,0.999955093218881
"ENSG00000214812",4.24281577501134,-0.580845870927038,1.01471126725934,-0.572424777046048,0.56703423399916,0.999955093218881
"ENSG00000126698",2539.32213747023,-0.407232734602051,0.318943251270446,-1.2768187850971,0.201666231928926,0.999955093218881
"ENSG00000229447",6.29447397337571,0.264944230595445,0.779059283127017,0.340082245772108,0.733794591614793,0.999955093218881
"ENSG00000130766",976.071591593308,0.191249976299947,0.697834389973559,0.274062125696031,0.784036879165415,0.999955093218881
"ENSG00000168528",151.124435102554,-0.268461500159553,0.672535240254887,-0.399178339052996,0.689761802558209,0.999955093218881
"ENSG00000169403",13793.6905817972,0.577588330891816,0.381032361678141,1.51585111655085,0.129557003322141,0.999955093218881
"ENSG00000084628",4.7170433994778,-0.0672666552392158,1.93068747730138,-0.0348407787537099,0.972206703613597,0.999955093218881
"ENSG00000060688",673.353917793586,-0.137264290293446,0.291914570915609,-0.470220756240112,0.638197306308895,0.999955093218881
"ENSG00000171612",334.251993033964,0.082234635255511,0.42818859391908,0.192052372303621,0.84770118174285,0.999955093218881
"ENSG00000158161",1918.9455708336,0.168231266867759,0.590794010308327,0.284754523458965,0.775832215361218,0.999955093218881
"ENSG00000121769",194.229439959584,0.0832750397167239,0.881125995893727,0.0945097978096288,0.924704199757474,0.999955093218881
"ENSG00000142627",2.33571243864859,0.906575205284951,2.47587943651043,0.366162904346708,0.714243520912654,0.999955093218881
"ENSG00000142632",25.7917426832665,1.18006242667579,0.599252958716571,1.96922252866827,0.0489275429292275,0.999955093218881
"ENSG00000270605",6.69988927040327,0.213248751828015,0.952832320534613,0.223805119990437,0.822908945843767,0.999955093218881
"ENSG00000189337",3.30630787540858,-0.0259340532083982,1.23135504624462,-0.0210613935334831,0.983196681555591,0.999955093218881
"ENSG00000028137",88256.3661042998,-0.564746562754709,1.00292583051838,-0.563099030426614,0.573367451689002,0.999955093218881
"ENSG00000204464",8.36056828863566,0.526243779566561,1.0580823221558,0.497356177820228,0.618937902495095,0.999955093218881
"ENSG00000284543",2.13978972563844,0.227580234400232,1.66113041243995,0.137003231471725,0.891028240853932,0.999955093218881
"ENSG00000130939",1292.27178475491,0.176628567048773,0.544407683786354,0.324441723195972,0.745603636034058,0.999955093218881
"ENSG00000175147",62.261849828436,0.159284664541293,0.728029491107653,0.21878875304756,0.826814608402718,0.999955093218881
"ENSG00000060656",2.81315171074096,-1.58281110071706,2.26261023966741,-0.699550931471838,0.484207795348822,0.999955093218881
"ENSG00000163867",452.327715147662,0.282068808188271,0.365182815961407,0.772404384488018,0.439874957854727,0.999955093218881
"ENSG00000232768",2.45906122110515,0.00231010358383473,1.60261277803568,0.00144146085410988,0.998849881037792,0.999955093218881
"ENSG00000134698",1677.86034894459,0.288806699647009,0.632286561509203,0.456765519351948,0.647839591851627,0.999955093218881
"ENSG00000272420",1.38587922563901,3.94018008593649,2.94231341119765,1.33914357013812,0.180523938730625,0.999955093218881
"ENSG00000132881",5.46228204695658,-0.0661304278297061,1.9396695277067,-0.0340936571333845,0.972802466420662,0.999955093218881
"ENSG00000236648",2.27265297558316,1.31040668636805,1.92448160417714,0.680914113974262,0.495925836839824,0.999955093218881
"ENSG00000232273",3.46512987659479,0.986543665751494,1.0553183899318,0.934830355619267,0.349875733041499,0.999955093218881
"ENSG00000130940",118.535115531354,-0.582194478859825,0.708411386458094,-0.821831057474489,0.411173055095431,0.999955093218881
"ENSG00000163879",3.15546044949726,-0.512206783336374,1.38149802580141,-0.37076186412879,0.710814908053888,0.999955093218881
"ENSG00000116954",1121.25344316307,-0.656860806233419,0.60462653234177,-1.08639097210858,0.277306054002171,0.999955093218881
"ENSG00000228589",506.024894196862,-0.195256265607034,0.794473292203629,-0.245768193245932,0.805861680097229,0.999955093218881
"ENSG00000179051",3096.48595617407,0.127525556555206,0.464936164237454,0.274286163057162,0.783864717191342,0.999955093218881
"ENSG00000215895",7.61530429260605,1.15769376887039,1.00599849678726,1.15079075422835,0.249818329398725,0.999955093218881
"ENSG00000126067",2741.45179193857,-0.182419717928608,0.287162660281464,-0.635248739337518,0.52526619998873,0.999955093218881
"ENSG00000272078",22.6126636010121,-0.753673336778215,0.73470343472637,-1.02581980858564,0.304976527264156,0.999955093218881
"ENSG00000241014",2.44863177732981,1.07495930401613,1.62410992197487,0.661875954005014,0.508050723527236,0.999955093218881
"ENSG00000054118",4001.7343425292,0.0272252032575787,0.358944495274741,0.0758479475684401,0.939540069318025,0.999955093218881
"ENSG00000237749",6.12624430316145,1.12248972550381,1.0951216822023,1.02499086973282,0.305367495761106,0.999955093218881
"ENSG00000159339",32.2442435924566,1.63623240353127,1.10011357580712,1.48733043525148,0.136927559932317,0.999955093218881
"ENSG00000158315",8.13056355261905,-2.44998077147483,1.32224293267078,-1.85289761127795,0.0638970355655828,0.999955093218881
"ENSG00000146463",755.833393610961,0.154096756738996,0.432666326676884,0.35615611208421,0.721723657205141,0.999955093218881
"ENSG00000142686",420.104444772642,0.310457273180158,0.400156226345964,0.775840166264825,0.437843364695175,0.999955093218881
"ENSG00000117000",1430.00961791057,-0.0329420318861519,0.477208744716344,-0.0690306543014689,0.944965219087278,0.999955093218881
"ENSG00000092853",16.2353040956491,0.250321733266449,0.603088919255167,0.415066046273248,0.678093554485839,0.999955093218881
"ENSG00000134697",1468.38308733029,-0.143782484342376,0.456228955740603,-0.315154228010302,0.752644556713429,0.999955093218881
"ENSG00000116151",30.9297286046705,-0.260042554943488,0.508147660589142,-0.511746043742477,0.608828757010429,0.999955093218881
"ENSG00000066056",263.167782078781,0.126826135750743,1.07554013064212,0.117918552862388,0.906132192749786,0.999955093218881
"ENSG00000214114",230.218851549039,0.279708921316425,0.656955761586123,0.425765230585861,0.670278924842298,0.999955093218881
"ENSG00000116544",4.37142850519295,-0.00616093395028515,1.31625984964544,-0.00468063654144333,0.996265406005328,0.999955093218881
